Keuwl Accelerometer Data File,,,,,,
2025-05-07 18:45:26,,,,,,
,,,,,,
Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
0.5957639,4.968866,2.109292,8.574833,10.132448,32.191246,23.001301
0.598389,4.98802,2.185906,8.804677,10.352819,31.73807,23.664534
0.601013,4.83509,2.396596,8.670602,10.212791,31.897547,26.36611
0.603638,4.681861,2.62614,8.555679,10.100301,32.105415,29.288847
0.606262,4.241628,2.970606,8.460211,9.919228,31.470373,35.005314
0.608887,3.743933,3.296217,8.421904,9.788286,30.637762,41.361198
0.6115109,3.686472,3.296217,8.479364,9.816045,30.250969,41.801128
0.614136,3.954623,2.951452,8.479364,9.810695,30.197351,36.735073
0.616761,4.184167,2.702754,8.498518,9.850733,30.375547,32.860359
0.619385,4.624401,2.20506,8.536825,9.956141,30.969299,25.493275
0.62201,4.949713,1.918055,8.747216,10.23193,31.251963,21.181763
0.624634,4.98802,1.975516,8.804677,10.310449,31.355328,21.606146
0.627259,5.026327,2.032677,8.862138,10.389091,31.457956,22.018707
0.629883,4.720169,2.530372,8.804677,10.305586,31.310932,28.194717
0.632508,4.433164,2.721908,8.747216,10.177206,30.740528,31.549416
0.635132,4.126706,2.932298,8.708909,10.073389,30.169088,35.39632
0.637757,3.878008,3.066374,8.613141,9.931152,29.85533,38.333721
0.640381,3.743933,3.162142,8.40275,9.727404,30.251484,40.184578
0.643006,3.878008,3.123835,8.268675,9.652371,31.057838,38.852333
0.64563,4.279935,2.721908,8.268675,9.700393,31.525646,32.455116
0.6482549,4.41401,2.530372,8.460211,9.872255,31.02212,29.823889
0.650879,4.701015,2.147599,8.823831,10.226031,30.358578,24.552689
0.653504,4.777629,2.185906,8.938752,10.368472,30.445801,24.585491
0.656128,4.662708,2.377442,8.823831,10.259292,30.674225,27.016329
0.658753,4.547786,2.587833,8.689755,10.143524,31.054157,29.641232
0.661377,3.954623,3.181295,8.479364,9.882272,30.903008,38.81493
0.6640019,3.839701,3.200449,8.536825,9.892601,30.350502,39.811722
0.666626,3.724779,3.219603,8.613141,9.920989,29.752905,40.839287
0.669251,3.878008,3.028067,8.517672,9.836609,30.012602,37.983799
0.671875,4.203321,2.645294,8.364443,9.727764,30.699968,32.183613
0.6744999,4.375703,2.454057,8.306982,9.704387,31.129303,29.285328
0.677124,4.758476,2.070984,8.498518,9.957754,31.410276,23.519644
0.679749,4.873397,2.051831,8.613141,10.106741,31.546324,22.832396
0.682373,5.141249,2.013524,8.862138,10.441465,31.92461,21.387346
0.684998,4.892551,2.358289,8.842984,10.377714,31.557772,25.734819
0.687622,4.605247,2.587833,8.76637,10.234961,31.072788,29.332998
0.6902469,4.318242,2.817676,8.689755,10.104373,30.683475,33.124664
0.692871,3.743933,3.277064,8.498518,9.847893,30.347347,41.195652
0.695496,3.801394,3.277064,8.364443,9.754673,30.96513,40.763603
0.69812,3.878008,3.277064,8.230368,9.670421,31.66992,40.199074
0.700745,4.184167,2.932298,8.172907,9.638571,32.01194,35.023087
0.703369,4.643554,2.339135,8.249521,9.751347,32.222061,26.736137
0.705994,4.777629,2.109292,8.383596,9.877224,31.92071,23.821142
0.708618,4.949713,2.013524,8.574833,10.103548,31.929964,22.136297
0.711243,4.854244,2.185906,8.517672,10.044531,32.006172,24.242434
0.713867,4.662708,2.549525,8.383596,9.926007,32.369919,28.669432
0.716492,4.222474,2.951452,8.326136,9.791061,31.746832,34.95303
0.719116,4.107553,2.989759,8.383596,9.802823,31.21566,36.049706
0.721741,4.012084,3.028067,8.460211,9.840791,30.716139,37.043194
0.724365,3.954623,3.008913,8.40275,9.762111,30.598953,37.266045
0.72699,4.088398,2.83683,8.306982,9.683416,30.923243,34.755741
0.729615,4.203321,2.683601,8.211214,9.606958,31.271706,32.556107
0.7322389,4.605247,2.243367,8.364443,9.80841,31.484358,25.972233
0.734864,5.179556,1.669058,8.708909,10.269306,31.999542,17.860994
0.737488,5.351939,1.57329,8.900445,10.504114,32.077618,16.381559
0.740113,5.198709,1.822287,8.957906,10.516244,31.590246,19.316929
0.742737,4.930859,2.070984,8.842984,10.334443,31.164976,22.78264
0.745362,4.394856,2.568679,8.632295,10.021446,30.527876,30.305174
0.747986,4.069245,2.894291,8.498518,9.857001,30.437658,35.422718
0.750611,4.069245,2.951452,8.421904,9.808073,30.832357,35.953644
0.753235,4.069245,3.008913,8.345289,9.759927,31.23402,36.480255
0.75586,4.279935,2.798522,8.172907,9.64085,32.033607,33.179482
0.7584839,4.471471,2.549525,8.230368,9.707373,32.021725,29.69075
0.761109,4.643554,2.300828,8.287828,9.774687,32.017429,26.357885
0.763733,4.930859,2.051831,8.517672,10.053562,32.088428,22.593189
0.766358,5.141249,1.937208,8.76637,10.345746,32.076424,20.646271
0.768982,5.102942,2.051831,8.785523,10.365108,32.047806,21.904459
0.771607,4.720169,2.41575,8.728063,10.212488,31.279348,27.103052
0.774231,4.56694,2.530372,8.76637,10.20338,30.777227,28.98921
0.776856,4.260781,2.721908,8.823831,10.169711,29.812391,32.571594
0.77948,4.165013,2.798522,8.670602,10.017904,30.058949,33.897629
0.782105,4.241628,2.683601,8.555679,9.919312,30.398441,32.320793
0.784729,4.299088,2.587833,8.421904,9.803443,30.786997,31.045803
0.7873539,4.777629,2.051831,8.40275,9.881394,31.749071,23.241892
0.789978,5.007174,1.84144,8.632295,10.147867,31.717438,20.191526
0.792603,5.237017,1.630751,8.862138,10.422244,31.754601,17.296024
0.795227,5.237017,1.707365,9.015067,10.5647,31.425404,18.056932
0.797852,5.026327,2.013524,9.034221,10.532586,30.936226,21.830812
0.800476,4.83509,2.243367,8.919599,10.390862,30.86171,24.890181
0.8031009,4.452317,2.62614,8.76637,10.176885,30.525846,30.533663
0.805725,4.337396,2.741062,8.728063,10.124499,30.449804,32.29126
0.80835,4.107553,2.970606,8.632295,10.010644,30.422871,35.874672
0.810974,4.184167,2.83683,8.460211,9.855456,30.859339,34.136936
0.8135989,4.356549,2.645294,8.40275,9.827681,31.239328,31.266094
0.816223,4.528633,2.454057,8.345289,9.806873,31.683403,28.453173
0.818848,5.102942,1.898901,8.479364,10.076977,32.705475,20.411188
0.821472,5.485714,1.898901,8.613141,10.386775,33.979134,19.093493
0.824097,5.524022,1.879748,8.76637,10.530788,33.648613,18.792723
0.826721,5.294478,2.147599,8.785523,10.479939,33.037048,22.078951
0.8293459,4.815937,2.587833,8.785523,10.347732,31.893791,28.251261
0.83197,4.662708,2.760215,8.747216,10.289481,31.776098,30.624552
0.834595,4.394856,2.989759,8.613141,10.121246,31.679827,34.22691
0.837219,4.126706,2.913145,8.536825,9.91935,30.61334,35.219219
0.8398439,4.069245,2.760215,8.383596,9.719169,30.392071,34.149494
0.842469,4.030938,2.358289,8.383596,9.596597,29.120163,30.329649
0.845093,4.356549,1.956362,8.555679,9.798291,29.169607,24.18305
0.847718,4.586093,1.745672,8.708909,9.996235,29.399405,20.839064
0.850342,5.064634,1.439514,9.110835,10.522834,30.024015,15.866664
0.852967,5.198709,1.324592,9.053374,10.523531,30.649923,14.294387
0.8555909,5.122095,1.477821,8.977059,10.440661,30.703949,16.093847
0.858216,5.026327,1.918055,8.842984,10.350906,31.315329,20.886938
0.86084,4.375703,2.798522,8.689755,10.123752,30.867813,32.601334
0.863465,4.222474,2.989759,8.670602,10.096894,30.824654,35.300732
0.866089,4.050091,3.181295,8.498518,9.937238,31.216022,38.149185
0.868714,3.99293,3.181295,8.326136,9.766711,31.515207,38.545456
0.871338,4.241628,2.875137,7.943363,9.452768,32.825935,34.130917
0.873963,4.356549,2.721908,8.058285,9.556373,32.516495,31.996538
0.876587,4.720169,2.339135,8.19206,9.739682,32.743389,26.361258
0.879212,4.815937,2.243367,8.441057,9.973835,32.186352,24.977118
0.881836,4.968866,2.051831,8.804677,10.316103,31.40683,22.437561
0.884461,4.892551,2.20506,8.938752,10.42596,30.979073,24.260963
0.887085,4.758476,2.396596,8.804677,10.291215,31.179148,26.73201
0.88971,4.624401,2.606986,8.708909,10.199341,31.364902,29.411947
0.892334,3.954623,3.296217,8.479364,9.919865,31.263868,39.811543
0.894959,3.897162,3.25791,8.517672,9.917287,30.809927,39.894608
0.8975829,3.839701,3.219603,8.555679,9.915079,30.356714,39.979954
0.900208,4.050091,2.875137,8.460211,9.810444,30.416512,35.370728
0.902832,4.433164,2.454057,8.479364,9.878003,30.861616,28.967503
0.905457,4.624401,2.224213,8.498518,9.927588,31.124004,25.686314
0.908081,4.873397,1.956362,8.747216,10.202507,30.978615,21.872351
0.910706,4.854244,2.013524,8.804677,10.253795,30.831863,22.528505
0.91333,4.83509,2.128445,8.938752,10.383143,30.583256,23.75948
0.915955,4.547786,2.587833,8.862138,10.291585,30.559092,29.641232
0.918579,4.356549,2.83683,8.823831,10.241441,30.50544,33.07074
0.921204,4.165013,3.085527,8.76637,10.184157,30.595161,36.531807
0.9238279,3.820547,3.315371,8.441057,9.840717,30.933056,40.950588
0.926453,3.916315,3.238756,8.268675,9.705568,31.575418,39.590431
0.929077,3.99293,3.142988,8.077438,9.542897,32.17403,38.207642
0.931702,4.337396,2.741062,8.077438,9.569296,32.424416,32.29126
0.934326,4.605247,2.377442,8.517672,9.970519,31.319094,27.304884
0.9369509,4.720169,2.20506,8.747216,10.181163,30.777948,25.039959
0.939575,4.758476,2.20506,8.938752,10.363719,30.40106,24.862827
0.9421999,4.643554,2.41575,8.804677,10.243084,30.73134,27.485128
0.944824,4.394856,2.817676,8.574833,10.039015,31.333952,32.665165
0.947449,4.012084,3.219603,8.479364,9.917776,31.24399,38.746223
0.950073,3.935469,3.219603,8.574833,9.969028,30.666868,39.28656
0.9526979,3.858855,3.238756,8.670602,10.027943,30.157907,40.006908
0.955323,4.14586,2.779369,8.441057,9.80635,30.596329,33.837753
0.957947,4.299088,2.587833,8.345289,9.737704,31.017733,31.045803
0.960572,4.433164,2.377442,8.249521,9.662286,31.374159,28.204023
0.963196,4.739322,1.994669,8.460211,9.900255,31.290529,22.825083
0.965821,4.911705,1.956362,8.785523,10.253664,31.038841,21.717693
0.9684449,4.98802,1.918055,8.938752,10.41444,30.873352,21.033363
0.97107,4.777629,2.300828,8.900445,10.36038,30.786022,25.714703
0.973694,4.547786,2.587833,8.804677,10.242147,30.72253,29.641232
0.976319,4.088398,3.123835,8.593987,10.016484,30.908978,37.382465
0.9789429,3.858855,3.372532,8.479364,9.907792,31.148685,41.152561
0.981568,3.897162,3.372532,8.345289,9.808451,31.698328,40.872311
0.984192,3.935469,3.353678,8.211214,9.703562,32.198601,40.43655
0.986817,4.433164,2.62614,8.039131,9.548675,32.657566,30.641867
0.989441,4.586093,2.377442,8.19206,9.684748,32.234478,27.402338
0.992066,4.739322,2.147599,8.364443,9.850749,31.884192,24.377407
0.9946899,4.892551,2.013524,8.593987,10.091974,31.617533,22.369558
0.997315,4.701015,2.339135,8.421904,9.924694,31.942371,26.45406
0.999939,4.605247,2.511218,8.326136,9.840683,32.210735,28.603415
1.002564,4.241628,2.932298,8.268675,9.744781,31.948574,34.656662
1.005188,4.165013,2.989759,8.40275,9.843384,31.389702,35.67181
1.007813,3.99293,3.104681,8.651448,10.021482,30.311943,37.866657
