MOTOR 1,,,,,,,
,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
,0.3349576,-0.515653,-2.55374,8.596215,8.982338,16.860626,258.58429
,0.3371048,0.077767,-2.58724,8.830712,9.202247,16.336618,271.72168
,0.3392519,-0.209372,-2.625525,8.313862,8.721096,17.578379,265.440613
,0.3413991,-0.582652,-2.079961,8.59143,8.858803,14.112616,254.351028
,0.3435462,-0.654437,-2.726023,9.44806,9.855218,16.526947,256.500458
,0.3456934,-0.415155,-2.96052,9.457631,9.918861,17.541351,262.017456
,0.3478406,-0.683151,-1.936392,9.538987,9.757489,12.148155,250.567368
,0.3499878,-0.975075,-2.07039,9.180064,9.461019,13.998037,244.781342
,0.3521349,-0.45344,-2.099104,9.385847,9.628394,12.887682,257.810486
,0.3542821,-0.611366,-1.945963,9.385847,9.604929,12.260914,252.558762
,0.3564293,-0.486939,-1.701895,9.500702,9.664207,10.554412,254.033325
,0.3585764,-0.664008,-1.237687,10.280763,10.376265,7.779579,241.786835
,0.3607236,-0.625723,-1.280758,10.362119,10.459702,7.832582,243.961868
,0.3628707,-0.300299,-0.912264,10.472188,10.516136,5.240002,251.77948
,0.3650179,-0.774078,-0.77348,10.400404,10.457814,6.006356,224.977859
,0.3671651,-0.482154,-0.768694,10.314262,10.354099,5.027651,237.902527
,0.3693122,-0.664008,-0.448056,10.6349,10.665025,4.307435,214.010483
,0.3714594,-0.472582,-0.510269,10.443475,10.466607,3.809971,227.195908
,0.3736066,-0.726222,-0.682553,10.237692,10.286088,5.560174,223.224518
,0.3757538,-0.486939,-0.634696,10.362119,10.392952,4.414549,232.504547
,0.3779009,-0.2668,-1.065404,10.027123,10.087094,6.250875,255.941055
,0.3800481,-0.410369,-1.266401,10.036695,10.124595,7.55541,252.045425
,0.3821953,-0.491725,-1.386042,10.079765,10.18649,8.301133,250.466888
,0.3843424,-0.491725,-1.44347,9.945767,10.061993,8.716949,251.188339
,0.3864896,-0.82672,-1.831107,9.309277,9.523605,12.17853,245.701462
,0.3886367,-0.329013,-1.716252,9.443274,9.603603,10.484134,259.147797
,0.3907839,-0.731007,-1.898107,9.500702,9.715993,12.084049,248.937088
,0.392931,-0.740579,-1.826322,9.385847,9.590518,11.858235,247.927307
,0.3950782,-0.381655,-2.166103,9.677772,9.924562,12.80412,260.007355
,0.3972254,-0.324227,-2.046462,9.491131,9.714664,12.314895,260.997284
,0.3993725,-0.606581,-1.826322,9.495916,9.688953,11.456262,251.626999
,0.4015197,-0.553938,-2.027319,9.605987,9.833201,12.340935,254.717697
,0.4036669,-0.788435,-1.85025,9.079565,9.299653,12.490008,246.920013
,0.405814,-0.45344,-1.993819,9.582058,9.797793,12.045768,257.187561
,0.4079612,-0.295514,-2.252244,9.845269,10.103923,12.992195,262.524994
,0.4101084,-0.199801,-2.07039,9.605987,9.828602,12.21779,264.487793
,0.4122555,-0.86022,-1.515255,9.280562,9.442712,10.633359,240.416153
,0.4144027,-0.108873,-2.199602,8.940782,9.208023,13.837655,267.166351
,0.4165498,-0.362513,-1.721038,9.227921,9.394035,10.790909,258.105316
,0.418697,-0.482154,-1.92682,9.352347,9.560937,11.990199,255.951202
,0.4208441,-0.415155,-1.582254,9.586843,9.725402,9.683163,255.298035
,0.4229913,-0.53001,-1.3334,9.629914,9.736227,8.47482,248.322784
,0.4251385,-0.577867,-1.515255,9.730413,9.864628,9.462154,249.124847
,0.4272856,-0.582652,-1.299901,10.084551,10.184665,8.040223,245.856735
,0.4294328,-0.735793,-0.816551,10.07498,10.13476,6.226205,227.978027
,0.43158,-0.53001,-1.07019,9.921839,9.993453,6.863414,243.653152
,0.4337271,-0.573081,-0.888335,10.37169,10.425426,5.819855,237.173218
,0.4358743,-0.821935,-0.878764,10.591829,10.659955,6.481077,226.913849
,0.4380215,-0.544367,-1.371686,10.721042,10.822134,7.837518,248.353851
